timestamp,symbol,quantity,closing,volume
2019-04-03,AAPL,10.0,195.35,23237183
2019-04-04,AAPL,10.0,195.69,19080043
2019-04-04,NFLX,5.0,367.88,4614388
2019-04-05,GOOG,1.0,1207.15,906971
2019-04-05,AAPL,10,197,18512189
2019-04-08,AMZN,1.0,1849.86,3752404
2019-04-08,MSFT,16.0,119.93,15111628
2019-04-09,AAPL,10.0,199.5,35700516
2019-04-09,AMZN,1.0,1835.84,3712276
2019-04-10,NFLX,5.0,363.92,4545200
2019-04-10,FB,11.0,177.82,11701479
2019-04-11,AAPL,10.0,198.95,20882403
2019-04-11,MSFT,16.0,120.33,14206957
2019-04-12,NFLX,5.0,351.14,15643807
2019-04-12,GOOG,1.0,1217.87,933162
2019-04-15,GOOG,1.0,1221.1,1185727
2019-04-15,FB,11.0,179.65,10834242
2019-04-16,FB,11.0,178.87,11213822
2019-04-16,AAPL,10.0,199.25,25643797
2019-04-17,NFLX,5.0,354.74,17994816
2019-04-17,AMZN,1.0,1864.82,2893517
2019-04-18,AAPL,9.0,203.86,24128389
2019-04-18,MSFT,16.0,123.37,27907758
2019-04-22,NFLX,5.0,377.34,11977709
2019-04-22,MSFT,16.0,123.76,15619181
2019-04-23,NFLX,5.0,381.89,10088139
2019-04-23,FB,10.0,183.78,19952058
2019-04-24,AMZN,1.0,1901.75,3675686
2019-04-24,NFLX,5.0,374.23,6539469
2019-04-25,AAPL,9.0,205.28,18511384
2019-04-25,MSFT,15.0,129.15,37829874
2019-04-26,GOOG,1.0,1272.18,1241416
2019-04-26,MSFT,15.0,129.89,23644825
2019-04-29,NFLX,5.0,371.83,3819468
2019-04-29,AMZN,1.0,1938.43,4017293
2019-04-30,FB,10.0,193.4,23493336
2019-04-30,GOOG,1.0,1188.48,6198898
2019-05-01,MSFT,15.0,127.88,26804592
2019-05-01,GOOG,1.0,1168.08,2639926
2019-05-02,NFLX,5.0,379.06,5397865
2019-05-02,AAPL,9.0,209.15,31970138
2019-05-03,NFLX,5.0,385.03,5130024
2019-05-03,FB,10.0,195.47,14573810
2019-05-06,MSFT,15.0,128.15,24235537
2019-05-06,GOOG,1.0,1189.39,1563832
2019-05-07,AAPL,9.0,202.86,38747827
2019-05-07,GOOG,1.0,1174.1,1548795
2019-05-08,GOOG,1.0,1166.27,1309514
2019-05-08,MSFT,15.0,125.51,28402217
